,Date,ETP journali�re (mm),Temperature (MAX) (�C),Temperature (MIN) (�C),Temperature (MOY) (�C),Relative Humidity (MAX) (% RH),Relative Humidity (MIN) (% RH),Relative Humidity (MOY) (% RH),Pyranometer (SOM) (W/m�)
0,01/01/18,1.45,18.0,4.2,9.0,100.0,19.6,71.6,14372.9
1,02/01/18,1.85,18.4,3.7,10.0,62.2,17.4,38.2,14703.1
2,03/01/18,2.07,17.4,4.4,10.0,75.1,35.8,53.1,14371.8
3,04/01/18,1.92,17.9,5.3,10.9,85.1,39.2,60.5,14445.2
4,05/01/18,1.92,16.7,5.6,11.9,99.3,32.2,61.3,14525.0
5,06/01/18,2.29,10.4,1.1,4.0,99.3,61.3,84.6,2763.3
6,07/01/18,0.41,4.9,0.2,2.1,100.0,57.9,85.4,10740.8
7,08/01/18,0.95,4.5,1.9,3.3,94.5,81.1,86.4,3967.8
8,09/01/18,0.49,10.1,3.4,7.1,88.0,52.5,77.1,9467.1
9,10/01/18,1.23,10.7,7.5,8.8,100.0,80.3,93.5,3932.4
10,11/01/18,0.46,10.9,3.6,7.1,99.9,70.9,91.1,8884.2
11,12/01/18,0.99,15.7,0.4,7.8,100.0,28.1,73.8,15584.0
12,13/01/18,1.9,14.3,4.9,9.2,100.0,29.1,65.5,13163.0
13,14/01/18,1.84,9.5,2.1,5.7,100.0,60.5,91.9,9570.1
14,15/01/18,1.0,8.2,0.9,4.0,100.0,55.2,86.2,13730.6
15,16/01/18,1.35,14.6,2.5,8.9,88.7,35.3,62.2,15516.4
16,17/01/18,2.08,15.3,2.7,8.4,81.4,29.4,55.5,15744.3
17,18/01/18,2.05,15.5,5.8,10.1,91.2,17.3,49.4,5272.7
18,19/01/18,1.3,10.5,5.7,8.0,100.0,71.2,86.0,6048.7
19,20/01/18,0.76,14.7,3.6,8.2,99.3,52.6,79.9,15837.7
20,21/01/18,1.93,15.7,3.8,9.0,74.0,17.9,52.2,16104.5
21,22/01/18,2.19,15.9,3.2,8.9,90.0,39.2,66.7,16051.4
22,23/01/18,2.09,16.9,4.6,10.0,91.2,32.4,65.8,16223.1
23,24/01/18,2.18,18.9,4.6,12.6,87.4,26.0,50.8,16312.5
24,25/01/18,2.52,14.7,4.8,8.0,96.0,38.9,74.6,12087.1
25,26/01/18,1.5,8.0,3.1,5.0,100.0,64.4,85.6,11368.4
26,27/01/18,1.14,7.3,0.2,3.0,98.5,56.4,81.1,12554.2
27,28/01/18,1.26,8.3,-1.0,3.7,86.5,52.9,69.7,15623.0
28,29/01/18,1.65,13.2,2.9,9.5,87.6,40.9,56.6,14166.7
29,30/01/18,2.76,15.5,8.0,12.2,60.7,32.6,41.5,12405.5
30,31/01/18,3.26,13.5,2.8,8.8,92.8,39.9,61.2,6851.6
31,01/02/18,1.48,12.0,1.9,7.4,98.6,49.7,74.5,14839.2
32,02/02/18,1.76,6.8,0.7000000000000001,4.0,100.0,69.5,90.0,7941.7
33,03/02/18,0.73,6.9,-1.5,1.9,93.4,37.0,67.6,17489.6
34,04/02/18,1.79,7.1,-0.9,2.6,99.7,40.4,70.0,8992.7
35,05/02/18,1.29,2.7,0.3,0.7000000000000001,100.0,79.1,94.9,10906.0
36,06/02/18,0.8200000000000001,2.3,-2.8,0.7000000000000001,100.0,78.7,92.1,5183.2
37,07/02/18,0.44,6.0,-1.0,2.0,87.2,49.0,72.9,19003.7
38,08/02/18,1.78,5.7,-1.6,2.2,96.3,68.1,84.4,11357.9
39,09/02/18,1.1,6.3,1.0,3.9,99.8,64.8,84.9,8963.9
40,10/02/18,0.9,7.6,4.0,5.4,98.2,79.6,90.7,5461.6
41,11/02/18,0.54,10.6,0.4,5.9,97.3,60.1,84.3,19084.0
42,12/02/18,2.02,12.1,1.8,7.3,98.5,57.8,79.7,18667.9
43,13/02/18,2.17,13.1,0.7000000000000001,6.9,100.0,56.5,84.8,19378.0
44,14/02/18,2.24,15.3,1.1,8.0,97.0,43.3,73.5,19745.7
45,15/02/18,2.44,17.2,4.7,10.3,75.2,15.2,46.0,19831.1
46,16/02/18,2.75,15.6,3.8,9.4,83.4,34.0,65.5,11003.2
47,17/02/18,1.65,13.7,0.9,6.9,98.4,61.3,81.5,20046.0
48,18/02/18,2.31,16.2,2.8,9.6,92.2,25.8,58.5,20072.4
49,19/02/18,2.68,12.8,4.0,8.1,94.6,55.2,75.6,18657.4
50,20/02/18,2.19,13.7,2.1,8.2,95.4,58.2,77.2,20368.2
51,21/02/18,2.43,13.6,3.4,8.1,92.3,47.2,75.5,14655.9
52,22/02/18,1.97,11.6,1.2,7.4,92.9,48.2,72.6,18971.8
53,23/02/18,2.18,13.5,-0.7,6.7,92.9,34.9,66.9,21614.2
54,24/02/18,2.67,11.5,4.6,8.1,98.0,61.1,83.0,9428.3
55,25/02/18,1.24,14.7,3.1,9.5,98.5,47.2,70.4,21007.5
56,26/02/18,2.69,17.9,6.2,10.0,99.5,30.6,67.7,13135.9
57,27/02/18,2.03,15.7,4.6,9.9,93.9,43.9,74.9,21991.5
58,28/02/18,2.74,18.2,3.4,9.9,95.2,34.1,69.0,17936.7
59,01/03/18,2.71,14.4,9.8,11.5,94.3,64.6,78.1,15994.2
60,02/03/18,2.13,17.5,10.1,13.3,80.4,51.5,67.4,22031.6
61,03/03/18,3.4,14.6,7.2,10.6,100.0,66.5,86.1,9424.8
62,04/03/18,1.38,13.1,8.1,10.3,87.1,52.9,74.1,19184.8
63,05/03/18,2.39,11.4,7.7,9.4,99.6,71.5,81.5,10496.7
64,06/03/18,1.46,12.9,6.5,10.2,100.0,73.0,88.2,7682.6
65,07/03/18,1.0,16.5,10.6,13.0,99.5,66.9,88.1,10760.0
66,08/03/18,1.46,14.8,9.8,12.6,100.0,80.5,92.6,11448.2
67,09/03/18,1.37,19.4,7.5,13.4,100.0,43.6,82.7,21121.3
68,10/03/18,2.99,17.9,9.3,13.1,99.6,52.1,80.8,18722.7
69,11/03/18,2.59,13.4,7.9,9.8,96.3,60.0,80.1,15516.8
70,12/03/18,1.99,15.2,7.3,10.3,96.9,51.1,74.2,21431.7
71,13/03/18,2.8200000000000003,16.1,6.3,11.3,100.0,57.8,81.0,18229.9
72,14/03/18,2.47,17.1,8.9,12.9,100.0,51.7,81.0,18021.1
73,15/03/18,2.52,13.7,5.8,10.0,100.0,50.5,81.1,7565.4
74,16/03/18,1.39,7.3,3.4,5.4,99.9,80.0,92.8,8129.4
75,17/03/18,0.72,11.7,4.2,7.9,91.8,51.8,70.3,20499.0
76,18/03/18,2.63,12.6,7.0,9.4,97.6,70.7,86.3,13273.5
77,19/03/18,1.49,12.6,7.6,9.7,97.5,60.4,78.7,20626.4
78,20/03/18,2.42,9.8,1.2,6.0,100.0,72.6,89.1,9597.3
79,21/03/18,0.97,7.0,1.2,4.1,94.7,68.9,83.1,14127.4
80,22/03/18,1.36,9.2,0.5,5.5,92.5,52.8,75.6,21866.8
81,23/03/18,2.3,13.3,0.9,8.0,94.8,38.1,71.2,25676.2
82,24/03/18,3.08,10.0,5.2,7.3,100.0,61.3,90.9,6905.8
83,25/03/18,0.79,11.3,4.6,7.5,100.0,61.3,86.3,9795.4
84,26/03/18,1.2,12.4,4.4,8.2,99.4,60.7,82.2,23448.4
85,27/03/18,2.8,16.6,2.1,10.1,91.8,32.7,65.0,26907.6
86,28/03/18,3.68,20.6,5.7,13.5,94.5,22.6,68.9,24460.7
87,29/03/18,3.79,15.5,7.4,11.1,100.0,63.4,83.6,15064.7
88,30/03/18,2.04,11.9,6.7,8.7,100.0,67.1,88.8,12688.5
89,31/03/18,1.49,15.2,6.3,10.3,94.2,54.5,76.4,24685.7
90,01/04/18,3.19,23.9,5.7,16.1,95.4,19.0,62.4,26432.9
91,02/04/18,4.31,14.7,8.8,11.7,98.3,70.1,87.8,15747.2
92,03/04/18,2.07,16.6,8.0,12.2,100.0,67.3,89.6,18205.9
93,04/04/18,2.49,15.4,8.3,11.8,100.0,67.4,88.1,22577.7
94,05/04/18,2.88,26.5,7.5,16.9,97.1,23.5,65.1,18293.8
95,06/04/18,3.38,18.0,9.8,11.9,100.0,56.5,89.4,9565.3
96,07/04/18,1.24,12.5,4.4,8.3,100.0,54.1,88.2,15816.7
